ssc_name, ssc2011
Glenrowan,20546
Glenroy (Vic.),20547
Glenthompson,20548
Gnarwarre,20549
Golden Beach (Vic.),20550
Golden Gully,20551
Golden Point (Ballarat - Vic.),20552
Golden Square,20553
Goldie,20554
Goon Nure,20555
Goorambat,20556
Goornong,20557
Gorae West,20558
Gordon (Vic.),20559
Gormandale,20560
Goroke,20561
Goughs Bay,20562
Gowanbrae,20563
Grahamvale,20564
Granite Rock,20565
Grantville,20566
Grassdale (Vic.),20567
Grassmere,20568
Great Western,20569
Greendale (Vic.),20570
Greensborough,20571
Greenvale (Vic.),20572
Greta South,20573
Greta West,20574
Grovedale,20575
Gruyere,20576
Guildford (Vic.),20577
Gunbower,20578
Gundowring,20579
Guys Hill,20580
Haddon,20581
Hadfield,20582
Hallam,20583
Hallora,20584
Halls Gap,20585
Hallston,20586
Hamilton (Vic.),20587
Hamlyn Heights,20588
Hampton (Vic.),20589
Hampton East,20590
Hampton Park,20591
Harcourt,20592
Harcourt North,20593
Harkaway,20594
Harmers Haven,20595
Harrietville,20596
Harrow,20597
Harston,20598
Hastings (Vic.),20599
Hattah,20600
Haven,20601
Hawkesdale,20602
Hawthorn (Vic.),20603
Hawthorn East,20604
Hazeldene,20605
Hazelwood,20606
Hazelwood North,20607
Hazelwood South,20608
Healesville,20609
Heath Hill,20610
Heathcote (Vic.),20611
Heathcote Junction,20612
Heatherton,20613
Heathmere,20614
Heathmont,20615
Heidelberg,20616
Heidelberg Heights,20617
Heidelberg West,20618
Hepburn,20619
Hepburn Springs,20620
Herne Hill (Vic.),20621
Hernes Oak,20622
Hesket,20623
Hexham (Vic.),20624
Heyfield,20625
Heywood,20626
Highett,20627
Highlands,20628
Highton,20629
Hill End (Vic.),20630
Hilldene,20631
Hillside (Melton - Vic.),20632
Hmas Cerberus,20633
Hoddles Creek,20634
Hopetoun (Vic.),20635
Hopetoun Park,20636
Hoppers Crossing,20637
Horsham,20638
Hotham Heights,20639
Howqua Hills,20640
Howqua Inlet,20641
Hughesdale,20642
Humevale,20643
